county,candidate,party,votes
SAGINAW,Alexander,WRITE-IN,0
SAGINAW,Anderson,NLP,118
SAGINAW,Hoefling,WRITE-IN,0
SAGINAW,Johnson,WRITE-IN,146
SAGINAW,Obama,DEM,54381
SAGINAW,Romney,REP,42720
SAGINAW,Stein,GRN,398
SAGINAW,White,WRITE-IN,0
SANILAC,"Goode, Jr.",UST,75
SANILAC,Alexander,WRITE-IN,0
SANILAC,Anderson,NLP,26
SANILAC,Hoefling,WRITE-IN,0
SANILAC,Johnson,WRITE-IN,8
SANILAC,Obama,DEM,7212
SANILAC,Romney,REP,10963
SANILAC,Stein,GRN,85
SANILAC,White,WRITE-IN,0
SCHOOLCRAFT,"Goode, Jr.",UST,18
SCHOOLCRAFT,Alexander,WRITE-IN,0
SCHOOLCRAFT,Anderson,NLP,6
SCHOOLCRAFT,Hoefling,WRITE-IN,0
SCHOOLCRAFT,Johnson,WRITE-IN,2
SCHOOLCRAFT,Obama,DEM,1865
SCHOOLCRAFT,Romney,REP,2142
SCHOOLCRAFT,Stein,GRN,15
SCHOOLCRAFT,White,WRITE-IN,0
SHIAWASSEE,"Goode, Jr.",UST,207
SHIAWASSEE,Alexander,WRITE-IN,0
SHIAWASSEE,Anderson,NLP,54
SHIAWASSEE,Hoefling,WRITE-IN,0
SHIAWASSEE,Johnson,WRITE-IN,89
SHIAWASSEE,Obama,DEM,17197
SHIAWASSEE,Romney,REP,15962
SHIAWASSEE,Stein,GRN,170
SHIAWASSEE,White,WRITE-IN,0
ST. CLAIR,"Goode, Jr.",UST,348
ST. CLAIR,Alexander,WRITE-IN,0
ST. CLAIR,Anderson,NLP,117
ST. CLAIR,Hoefling,WRITE-IN,1
ST. CLAIR,Johnson,WRITE-IN,105
ST. CLAIR,Obama,DEM,33983
ST. CLAIR,Romney,REP,39271
ST. CLAIR,Stein,GRN,356
ST. CLAIR,White,WRITE-IN,0
ST. JOSEPH,"Goode, Jr.",UST,113
ST. JOSEPH,Alexander,WRITE-IN,0
ST. JOSEPH,Anderson,NLP,25
ST. JOSEPH,Hoefling,WRITE-IN,0
ST. JOSEPH,Johnson,WRITE-IN,18
ST. JOSEPH,Obama,DEM,10112
ST. JOSEPH,Romney,REP,12978
ST. JOSEPH,Stein,GRN,95
ST. JOSEPH,White,WRITE-IN,0
TUSCOLA,"Goode, Jr.",UST,150
TUSCOLA,Alexander,WRITE-IN,0
TUSCOLA,Anderson,NLP,33
